target_screen_name,target_party,target,source,source_party,label,weight
anked,The Left,32,382,The Left,Nicole Gohlke,1
anked,The Left,32,385,The Left,Niema Movassat,1
anked,The Left,32,416,The Left,Petra Sitte,2
anked,The Left,32,417,The Left,Petra Pau,1
anked,The Left,32,448,The Left,Simone Barrientos,3
anked,The Left,32,47,The Left,Stefan Liebich,1
anked,The Left,32,537,The Left,Victor Perli,2
anked,The Left,32,539,The Left,Kathrin Vogler,1
anked,The Left,32,71,The Left,Caren Lay,1
anked,The Left,32,90,The Left,Cornelia Möhring,1
annachristmann,Greens,33,115,Greens,Dieter Janecek,19
annachristmann,Greens,33,136,Greens,Erhard Grundl,1
annachristmann,Greens,33,139,SPD,Saskia Esken,1
annachristmann,Greens,33,177,Greens,Katrin Göring-Eckardt,1
annachristmann,Greens,33,182,Greens,Claudia Müller,1
annachristmann,Greens,33,184,Greens,Die Gruenen Bundestag,6
annachristmann,Greens,33,252,Greens,Kordula Schulz-Asche,1
annachristmann,Greens,33,256,Greens,Kai Gehring[210],1
annachristmann,Greens,33,268,FDP,Katja Suding,1
annachristmann,Greens,33,309,Greens,Manuela Rottmann,1
annachristmann,Greens,33,365,Greens,Monika Lazar,3
annachristmann,Greens,33,78,Greens,Cem Özdemir,6
annachristmann,Greens,33,82,Greens,Christian Kühn,1
AntjeTillmann,CDU,34,241,CDU,Johannes Steiniger,1
AntjeTillmann,CDU,34,34,CDU,Antje Tillmann,1
AntjeTillmann,CDU,34,351,CDU,Michael Meister,3
AntjeTillmann,CDU,34,371,CDU,Sepp Müller,4
AntjeTillmann,CDU,34,388,CDU,Nina Warken,1
AntjeTillmann,CDU,34,479,CDU,Sebastian Steineke,1
AntjeTillmann,CDU,34,517,CDU,Tankred Schipanski,3
AntjeTillmann,CDU,34,77,CDU,CDU CSU Bundestag,12
AntjeTillmann,CDU,34,84,CDU,Christian Hirte,5
armin_schuster,CDU,35,314,CDU,Marc Henrichmann,1
armin_schuster,CDU,35,324,CDU,Marian Wendt,2
armin_schuster,CDU,35,35,CDU,Armin Schuster,1
armin_schuster,CDU,35,388,CDU,Nina Warken,4
armin_schuster,CDU,35,423,CDU,Patrick Schnieder,1
armin_schuster,CDU,35,426,CDU,Ralph Brinkhaus,1
armin_schuster,CDU,35,459,CSU,Stefan Müller,2
armin_schuster,CDU,35,472,CDU,Stefan Rouenhoff,1
armin_schuster,CDU,35,479,CDU,Sebastian Steineke,1
armin_schuster,CDU,35,517,CDU,Tankred Schipanski,1
armin_schuster,CDU,35,547,CDU,Marco Wanderwitz,2
armin_schuster,CDU,35,77,CDU,CDU CSU Bundestag,7
AWidmannMauz,CDU,36,123,CDU,Andreas Nick,4
AWidmannMauz,CDU,36,281,CDU,Katja Leikert,1
AWidmannMauz,CDU,36,289,SPD,Lars Castellucci,1
